,rank,team,played,won,drawn,lost
0,1,Manchester City,27,23,3,1
1,2,Manchester United,27,17,5,5
2,3,Liverpool,27,15,9,3
3,4,Chelsea,27,16,5,6
4,5,Tottenham Hotspur,27,15,7,5
5,6,Arsenal,27,13,6,8
6,7,Burnley,27,9,9,9
7,8,Leicester City,27,9,8,10
8,9,Everton,27,9,7,11
9,10,Bournemouth,27,8,7,12
10,11,Watford,27,8,6,13
11,12,West Ham United,27,7,9,11
12,13,Newcastle United,27,7,7,13
13,14,Brighton and Hove Albion,27,6,10,11
14,15,Crystal Palace,27,6,9,12
15,16,Swansea City,27,7,6,14
16,17,Huddersfield Town,27,7,6,14
17,18,Southampton,27,5,11,11
18,19,Stoke City,27,6,7,14
19,20,West Bromwich Albion,27,3,11,13
