,title,views,date,price,link
0,공기질 미세먼지 측정기 Air Master2 plus(AM7) 판매합니다,23,16:04,"170,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=488&articleid=455327980&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
1,어웨어 AWAIR 공기질 측정기,42,18.03.05.,"120,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=455100385&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
2,단 1번 사용한 공기 파티클 측정기 팝니다.,13,18.03.05.,"222,222",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=485&articleid=454952849&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
3,단 1번 사용한 공기 파티클 측정기 팝니다.,9,18.03.05.,"222,222",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=488&articleid=454952478&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
4,실내 휴대용 공기질 측정기 100000원에 팝니다(택배비 포함),16,18.03.04.,"100,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=486&articleid=454809388&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
5,어웨어 민트(Awair Mint) 공기질 측정기 미개봉 새제품 팝니다(9만원),66,18.03.04.,"90,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=454711473&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
6,uHoo 스마트 공기 측정기 10만원 (택포),11,18.02.19.,"100,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=427&articleid=451218699&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
7,어웨어 공기질 측정기,275,17.12.30.,"180,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=437301139&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
8,칼더 공기질측정기 한번사용했고 케이스 있음 택포39000 원,51,17.11.29.,"39,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=443&articleid=428230865&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
9,미세먼지측정기 공기청정기,167,17.11.08.,"47,500",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=445&articleid=422310363&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
10,공기중 먼지측정기 (air sampler): MAS-100 Series,89,17.10.25.,"7,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=488&articleid=418370675&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
11,미세먼지측정기 & 소형공기청정기,193,17.10.11.,"47,500",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=414843430&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
12,공기질 측정기 Aircube -Gold Edition SN-100C 판매합니다.,139,17.09.15.,"75,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=409171745&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
13,공기흐름측정기,14,17.07.28.,"500,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=443&articleid=397662413&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
14,벤츠 타이어공기압력측정기와 전기테이블 새제품 판매해요,133,17.02.27.,"40,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=473&articleid=365322720&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
15,공기측정기 Sk 에어큐브 sn-100t 원주,107,16.12.22.,"47,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=393&articleid=353069167&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
16,산소포화도측정기 공기침대 모두 합쳐서 10만원에 판매합니다.,106,16.11.15.,"100,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=346402196&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
